MO,0.004607568,0.002800406,-0.008743997,-0.012472533,-0.003142547,-0.000136544,0.00040999,-0.01148337,-0.013986985,-0.011326222,0.004630828,0.005588052,-0.001859216,-0.004889586,0.00438017,-0.004097898,-0.002505182,0.003412449,0.004615055,-0.003416578,0.006880075,0.000132365,-0.001981007,0.001587335
AMZN,0.017184335,0.0056061,0.011639262,0.00231039,0.021401877,0.010840548,0.001430946,-0.002088815,-0.000801822,0.00576374,-0.016068193,0.005467463,-0.001300632,0.000527582,0.000516043,-0.00241051,0.002498657,-0.000633034,0.002939447,0.005295359,-0.000696856,-0.003847626,0.001142679,-0.004888221
AEE,0.002748781,-0.000366367,-0.00182847,-0.007981172,-0.003254384,-0.013202462,-0.002491547,0.00249777,0.000178408,0.009911677,0.014627958,-0.00653951,0.012879504,-0.008030717,0.014253999,-0.003137092,0.005566896,0.003912072,0,-0.012769082,-0.00127528,0,-0.004172694,0.006574139
AAL,-0.036513521,0.003546147,-0.005641796,0.013822736,-0.015023451,0.020603641,0.000239684,0.007727602,0.026270187,-0.001731816,-0.030695515,-0.000479386,-0.009731782,0.000950368,0.021354065,-0.027377862,-0.034852003,0.013154857,-0.034751549,0.001115054,-0.010373008,-0.032251153,0.02405947,-0.029093205
AEP,0.00208487,0.000298004,-0.000446799,-0.003412895,-0.006633211,0.002215896,-0.001475129,0.00504083,0.000148206,0.006867706,0.012853562,-0.00511515,0.006968626,-0.01004796,0.013527876,-0.00030386,0.006269052,0.008636737,-0.004758342,-0.016455254,-0.001657875,-0.002555607,0.000300707,0.005747081
AXP,-0.004198935,-0.00657318,-0.00126244,0.01226835,-0.004959292,0.013402069,-0.007672614,0.004624885,0.002188723,0.001805746,-0.016740652,-0.005047339,-0.006518694,0.006815511,-0.005772354,0.006059888,-0.002141574,0.001008753,0.003289501,-0.006785637,0.001006316,-0.004757108,-0.002746586,-0.022216784
AIG,0.006311685,-0.010251466,-0.002237494,0.012951271,-0.001454914,0.015263433,0.000821271,-0.007499169,0.001632887,-0.008419625,-0.009780359,-0.000801009,-0.007788937,-0.005060889,0.005566142,-0.004748322,0.006692161,-0.002056597,-0.003625469,-0.000157632,-0.005174005,-0.006851481,0.005007814,-0.011294991
AMT,-0.003384267,-0.003208812,0.005210462,-0.001074,0.005399136,0.003166378,0.005782786,0.003110576,0.005409509,0.01344869,0.006552811,-0.00025859,0.007993796,-0.001648187,0.011050711,-0.002100516,0.005986969,0.005132761,-0.002119375,-0.01272885,-8.72E-05,-0.008299464,0.007490637,0.008520749
AWK,0.007518823,-0.008100785,0.009999961,-0.002202903,-0.000259153,0.004554998,-0.003242963,0.007844137,-0.008683333,0.008759394,0.007375188,-0.003543268,0.006073396,-0.019166058,0.015918944,-0.001051308,0.002239173,0.008501581,-0.002517583,-0.018467915,-0.005304062,-0.000517106,-0.006423433,0.002317692
AMP,-0.00517105,-0.000848134,0.000154165,0.017739419,-0.007478958,0.024584946,0.000159644,-0.003183209,0.003594002,-0.005243537,-0.035405026,-0.009262789,-0.021471017,0.006957492,0.009515852,-0.001357508,0.003709235,-0.004671451,0.001207023,0.002874906,-0.00188779,-0.004734744,0.011094164,-0.019958244
